problem,array_size,sparsity,num_func_calls,dense_overhead,sparse_overhead,avg_append_duration, avg_getatindex_duration,avg_getatrank_duration
sparsearray,100,0.01,100000,64,1348,2.9588e-07,0.000104507,2.912e-08
sparsearray,100,0.1,100000,640,1348,2.645e-06,0.000254724,2.33e-08
sparsearray,100,0.2,100000,1280,1348,5.7577e-06,0.000383649,2.69e-08
sparsearray,100,0.5,100000,3200,1348,1.4524e-05,0.000693709,2.452e-08
sparsearray,100,0.8,100000,5120,1348,1.55055e-05,0.000841612,2.72e-08
sparsearray,1000,0.01,100000,640,8040,2.13315e-05,9.45264e-05,2.348e-08
sparsearray,1000,0.1,100000,6400,8040,0.000179719,0.000244949,2.34e-08
sparsearray,1000,0.2,100000,12800,8040,0.000350271,0.000383163,1.952e-08
sparsearray,1000,0.5,100000,32000,8040,0.000785867,0.000702717,2.608e-08
sparsearray,1000,0.8,100000,51200,8040,0.00105763,0.000812808,2.646e-08
sparsearray,10000,0.01,100000,6400,59024,0.00189012,9.97941e-05,2.362e-08
sparsearray,10000,0.1,100000,64000,59024,0.0177787,0.000246157,2.732e-08
sparsearray,10000,0.2,100000,128000,59024,0.0330704,0.000359382,2.892e-08
sparsearray,10000,0.5,100000,320000,59024,0.0731665,0.000674648,3.452e-08
sparsearray,10000,0.8,100000,512000,59024,0.115711,0.000905127,3.5e-08
sparsearray,100000,0.01,100000,64000,522240,0.185491,0.000121422,3.226e-08
sparsearray,100000,0.1,100000,640000,522240,1.82363,0.000262617,3.272e-08
sparsearray,100000,0.2,100000,1280000,522240,3.54895,0.000423073,3.542e-08
sparsearray,100000,0.5,100000,3200000,522240,7.53216,0.000695832,3.194e-08
sparsearray,100000,0.8,100000,5120000,522240,10.5082,0.000903823,3.728e-08
